Date,Total Leads,Total Interested,Total Not Interested,Total Converted,Instagram Leads,Instagram Interested,Instagram Not Interested,Instagram Converted,Facebook Leads,Facebook Interested,Facebook Not Interested,Facebook Converted,LinkedIn Leads,LinkedIn Interested,LinkedIn Not Interested,LinkedIn Converted,X Leads,X Interested,X Not Interested,X Converted,YouTube Leads,YouTube Interested,YouTube Not Interested,YouTube Converted,Digital Leads,Digital Interested,Digital Not Interested,Digital Converted
01-07-2026,93,68,25,20,23,16,7,5,25,19,6,5,17,13,4,4,8,6,2,2,6,4,2,2,14,10,4,2
02-07-2026,80,55,25,18,19,11,8,3,24,18,6,5,9,5,4,2,4,3,1,1,10,8,2,3,14,10,4,4
03-07-2026,88,61,27,19,19,12,7,5,25,18,7,4,12,8,4,2,8,6,2,2,10,8,2,3,14,9,5,3
04-07-2026,86,58,28,19,27,17,10,5,19,13,6,3,12,9,3,3,8,5,3,2,11,7,4,3,9,7,2,3
05-07-2026,77,49,28,14,20,13,7,3,22,13,9,3,10,6,4,2,6,4,2,2,10,7,3,2,9,6,3,2
06-07-2026,87,55,32,17,29,17,12,4,15,9,6,3,16,11,5,4,9,6,3,2,9,6,3,2,9,6,3,2
07-07-2026,91,61,30,18,21,14,7,4,26,19,7,6,15,10,5,2,5,3,2,1,10,7,3,2,14,8,6,3
08-07-2026,88,59,29,16,29,19,10,6,25,16,9,4,11,8,3,2,5,4,1,1,6,4,2,1,12,8,4,2
09-07-2026,84,55,29,18,20,12,8,5,20,13,7,3,17,13,4,4,9,5,4,2,9,6,3,2,9,6,3,2
10-07-2026,68,48,20,14,18,13,5,3,18,11,7,3,10,7,3,2,4,3,1,1,10,8,2,3,8,6,2,2
11-07-2026,88,58,30,16,27,17,10,4,25,17,8,5,14,9,5,2,4,2,2,1,9,6,3,2,9,7,2,2
12-07-2026,89,64,25,24,29,20,9,7,22,15,7,6,9,7,2,3,5,4,1,2,11,8,3,3,13,10,3,3
13-07-2026,95,66,29,20,30,21,9,7,25,18,7,5,12,8,4,2,5,3,2,1,11,8,3,2,12,8,4,3
14-07-2026,79,54,25,18,21,14,7,5,27,18,9,6,10,8,2,2,5,3,2,1,8,6,2,2,8,5,3,2
15-07-2026,98,68,30,24,30,22,8,8,16,11,5,3,16,12,4,4,9,6,3,2,12,7,5,3,15,10,5,4
16-07-2026,75,52,23,13,19,13,6,3,17,13,4,3,16,10,6,2,8,5,3,2,7,5,2,1,8,6,2,2
17-07-2026,78,52,26,14,24,17,7,4,15,10,5,2,13,8,5,2,8,5,3,2,10,7,3,2,8,5,3,2
18-07-2026,81,54,27,19,28,17,11,6,21,15,6,6,11,8,3,3,5,4,1,1,7,5,2,2,9,5,4,1
19-07-2026,87,58,29,16,23,14,9,4,23,17,6,4,12,8,4,2,4,2,2,1,12,9,3,3,13,8,5,2
20-07-2026,95,64,31,23,29,20,9,8,23,14,9,4,17,11,6,3,7,5,2,2,6,4,2,2,13,10,3,4
21-07-2026,78,52,26,15,21,13,8,3,18,12,6,3,11,7,4,2,6,4,2,2,7,5,2,2,15,11,4,3
22-07-2026,73,46,27,18,20,12,8,5,21,14,7,5,12,8,4,3,4,2,2,1,8,5,3,2,8,5,3,2
23-07-2026,89,62,27,18,26,16,10,5,23,17,6,4,12,9,3,2,6,4,2,1,12,9,3,3,10,7,3,3
24-07-2026,81,55,26,19,24,17,7,6,23,14,9,5,10,7,3,2,9,7,2,3,6,4,2,1,9,6,3,2
25-07-2026,80,56,24,18,27,19,8,5,19,14,5,5,9,6,3,2,6,4,2,1,10,6,4,2,9,7,2,3
26-07-2026,73,51,22,17,18,13,5,3,19,12,7,5,12,8,4,3,8,6,2,2,8,6,2,2,8,6,2,2
27-07-2026,98,65,33,22,29,18,11,5,23,14,9,4,16,12,4,5,9,6,3,2,10,7,3,3,11,8,3,3
28-07-2026,74,53,21,17,21,15,6,5,20,15,5,4,9,7,2,3,7,5,2,1,6,4,2,2,11,7,4,2
29-07-2026,84,57,27,15,25,18,7,5,19,11,8,3,13,9,4,3,8,5,3,1,6,4,2,1,13,10,3,2
30-07-2026,82,51,31,15,23,14,9,4,22,14,8,4,12,7,5,2,4,2,2,1,7,4,3,1,14,10,4,3
31-07-2026,93,60,33,18,22,15,7,4,24,14,10,4,15,10,5,4,7,5,2,2,11,8,3,2,14,8,6,2
01-08-2026,87,57,30,18,32,20,12,5,25,15,10,6,12,9,3,2,4,3,1,1,6,4,2,2,8,6,2,2
02-08-2026,91,66,25,21,25,17,8,4,22,16,6,6,17,13,4,5,8,6,2,2,8,6,2,2,11,8,3,2
03-08-2026,93,58,35,18,29,17,12,5,22,13,9,3,16,10,6,3,4,3,1,1,10,8,2,3,12,7,5,3
04-08-2026,90,59,31,16,27,16,11,4,15,10,5,2,16,11,5,3,9,7,2,3,8,5,3,2,15,10,5,2
05-08-2026,82,54,28,17,32,20,12,6,19,14,5,5,9,6,3,2,4,2,2,1,9,7,2,2,9,5,4,1
06-08-2026,80,53,27,16,20,13,7,4,17,11,6,3,14,10,4,3,7,4,3,1,7,5,2,2,15,10,5,3
07-08-2026,83,56,27,20,29,21,8,8,20,12,8,4,10,7,3,2,6,4,2,2,6,4,2,1,12,8,4,3
08-08-2026,86,58,28,19,19,11,8,4,24,18,6,6,15,10,5,2,6,4,2,1,12,7,5,3,10,8,2,3
