date,total_converted,total_revenue,full stack java converted,full stack python converted,data science converted,aws converted,medical coding converted,full stack java revenue,full stack python revenue,data science revenue,aws revenue,medical coding revenue,total_cost,profit_or_loss,profit_margin_pct
01-07-2026,10,222000,3,2,2,1,2,75000,44000,60000,18000,30000,122100,99900,45.0
02-07-2026,8,190000,2,1,2,3,0,50000,22000,60000,54000,0,104500,85500,45.0
03-07-2026,4,95000,1,1,1,0,1,25000,22000,30000,0,15000,52250,42750,45.0
04-07-2026,6,117000,1,2,0,2,0,25000,44000,0,36000,0,64350,52650,45.0
05-07-2026,4,76000,1,0,0,2,0,25000,0,0,36000,0,41800,34200,45.0
06-07-2026,6,142000,2,1,1,1,1,50000,22000,30000,18000,15000,78100,63900,45.0
07-07-2026,5,110000,1,1,1,1,1,25000,22000,30000,18000,15000,60500,49500,45.0
08-07-2026,4,73000,1,0,1,0,2,25000,0,30000,0,30000,40150,32850,45.0
09-07-2026,7,149000,2,2,1,1,1,50000,44000,30000,18000,15000,81950,67050,45.0
10-07-2026,5,107000,1,1,1,2,0,25000,22000,30000,36000,0,58850,48150,45.0
11-07-2026,6,130000,2,1,1,0,2,50000,22000,30000,0,30000,71500,58500,45.0
12-07-2026,5,108000,1,2,0,1,1,25000,44000,0,18000,15000,59400,48600,45.0
13-07-2026,7,154000,2,1,2,1,1,50000,22000,60000,18000,15000,84700,69300,45.0
14-07-2026,4,82000,1,1,1,1,0,25000,22000,30000,18000,0,45100,36900,45.0
15-07-2026,6,137000,2,0,1,2,1,50000,0,30000,36000,15000,75350,61650,45.0
16-07-2026,5,105000,1,2,1,0,1,25000,44000,30000,0,15000,57750,47250,45.0
17-07-2026,6,125000,2,1,1,1,1,50000,22000,30000,18000,15000,68750,56250,45.0
18-07-2026,5,110000,1,1,2,0,1,25000,22000,60000,0,15000,60500,49500,45.0
19-07-2026,4,91000,1,1,0,2,0,25000,22000,0,36000,0,50050,40950,45.0
20-07-2026,7,155000,2,1,1,2,1,50000,22000,30000,36000,15000,85250,69750,45.0
21-07-2026,6,137000,1,2,1,1,1,25000,44000,30000,18000,15000,75350,61650,45.0
22-07-2026,5,102000,1,1,1,1,1,25000,22000,30000,18000,15000,56100,45900,45.0
23-07-2026,6,137000,2,1,1,1,1,50000,22000,30000,18000,15000,75350,61650,45.0
24-07-2026,5,112000,1,2,1,1,0,25000,44000,30000,18000,0,61600,50400,45.0
25-07-2026,7,152000,2,1,1,1,2,50000,22000,30000,18000,30000,83600,68400,45.0
26-07-2026,4,82000,1,1,1,1,0,25000,22000,30000,18000,0,45100,36900,45.0
27-07-2026,6,125000,1,2,1,1,1,25000,44000,30000,18000,15000,68750,56250,45.0
28-07-2026,5,110000,2,0,1,1,1,50000,0,30000,18000,15000,60500,49500,45.0
29-07-2026,6,132000,1,1,2,1,1,25000,22000,60000,18000,15000,72600,59400,45.0
30-07-2026,5,107000,1,1,1,1,1,25000,22000,30000,18000,15000,58850,48150,45.0
31-07-2026,7,157000,2,1,2,1,1,50000,22000,60000,18000,15000,86350,70650,45.0
01-08-2026,5,102000,1,1,1,1,1,25000,22000,30000,18000,15000,56100,45900,45.0
02-08-2026,6,125000,1,2,1,1,1,25000,44000,30000,18000,15000,68750,56250,45.0
03-08-2026,4,80000,1,1,1,1,0,25000,22000,30000,18000,0,44000,36000,45.0
04-08-2026,7,157000,2,1,1,2,1,50000,22000,30000,36000,15000,86350,70650,45.0
05-08-2026,5,105000,1,1,1,0,2,25000,22000,30000,0,30000,57750,47250,45.0
06-08-2026,6,132000,2,1,1,1,1,50000,22000,30000,18000,15000,72600,59400,45.0
07-08-2026,5,110000,1,2,1,1,0,25000,44000,30000,18000,0,60500,49500,45.0
08-08-2026,6,137000,2,1,1,1,1,50000,22000,30000,18000,15000,75350,61650,45.0
09-08-2026,4,91000,1,1,0,2,0,25000,22000,0,36000,0,50050,40950,45.0
10-08-2026,7,152000,2,1,1,1,2,50000,22000,30000,18000,30000,83600,68400,45.0
11-08-2026,5,105000,1,1,1,1,1,25000,22000,30000,18000,15000,57750,47250,45.0
12-08-2026,6,137000,2,1,1,1,1,50000,22000,30000,18000,15000,75350,61650,45.0
13-08-2026,5,112000,1,2,1,1,0,25000,44000,30000,18000,0,61600,50400,45.0
14-08-2026,7,157000,2,1,2,1,1,50000,22000,60000,18000,15000,86350,70650,45.0
15-08-2026,4,80000,1,1,1,1,0,25000,22000,30000,18000,0,44000,36000,45.0
16-08-2026,6,125000,1,2,1,1,1,25000,44000,30000,18000,15000,68750,56250,45.0
17-08-2026,5,110000,2,1,1,0,1,50000,22000,30000,0,15000,60500,49500,45.0
18-08-2026,7,157000,2,1,2,1,1,50000,22000,60000,18000,15000,86350,70650,45.0
19-08-2026,5,102000,1,1,1,1,1,25000,22000,30000,18000,15000,56100,45900,45.0
20-08-2026,6,137000,2,1,1,1,1,50000,22000,30000,18000,15000,75350,61650,45.0
21-08-2026,5,105000,1,2,1,0,1,25000,44000,30000,0,15000,57750,47250,45.0
22-08-2026,7,152000,2,1,1,1,2,50000,22000,30000,18000,30000,83600,68400,45.0
23-08-2026,4,82000,1,1,1,1,0,25000,22000,30000,18000,0,45100,36900,45.0
24-08-2026,6,132000,2,1,1,1,1,50000,22000,30000,18000,15000,72600,59400,45.0
25-08-2026,5,107000,1,1,1,2,0,25000,22000,30000,36000,0,58850,48150,45.0
26-08-2026,7,155000,2,2,1,1,1,50000,44000,30000,18000,15000,85250,69750,45.0
27-08-2026,6,130000,1,1,2,1,1,25000,22000,60000,18000,15000,71500,58500,45.0
28-08-2026,5,110000,1,2,1,1,0,25000,44000,30000,18000,0,60500,49500,45.0
29-08-2026,7,157000,2,1,2,1,1,50000,22000,60000,18000,15000,86350,70650,45.0
30-08-2026,4,80000,1,1,1,1,0,25000,22000,30000,18000,0,44000,36000,45.0
31-08-2026,6,125000,1,2,1,1,1,25000,44000,30000,18000,15000,68750,56250,45.0
01-09-2026,5,110000,2,1,1,0,1,50000,22000,30000,0,15000,60500,49500,45.0
02-09-2026,6,137000,1,1,2,1,1,25000,22000,60000,18000,15000,75350,61650,45.0
03-09-2026,7,152000,2,1,1,1,2,50000,22000,30000,18000,30000,83600,68400,45.0
04-09-2026,4,95000,1,1,1,0,1,25000,22000,30000,0,15000,52250,42750,45.0
05-09-2026,6,125000,1,2,1,1,1,25000,44000,30000,18000,15000,68750,56250,45.0
06-09-2026,5,110000,2,1,1,1,0,50000,22000,30000,18000,0,60500,49500,45.0
07-09-2026,7,157000,2,1,2,1,1,50000,22000,60000,18000,15000,86350,70650,45.0
08-09-2026,5,105000,1,1,1,1,1,25000,22000,30000,18000,15000,57750,47250,45.0
09-09-2026,6,132000,2,1,1,1,1,50000,22000,30000,18000,15000,72600,59400,45.0
10-09-2026,5,107000,1,2,1,1,0,25000,44000,30000,18000,0,58850,48150,45.0
11-09-2026,7,152000,2,1,1,1,2,50000,22000,30000,18000,30000,83600,68400,45.0
12-09-2026,4,80000,1,1,1,1,0,25000,22000,30000,18000,0,44000,36000,45.0
13-09-2026,6,137000,2,1,1,1,1,50000,22000,30000,18000,15000,75350,61650,45.0
14-09-2026,5,110000,1,2,1,0,1,25000,44000,30000,0,15000,60500,49500,45.0
15-09-2026,7,157000,2,1,2,1,1,50000,22000,60000,18000,15000,86350,70650,45.0
16-09-2026,6,130000,1,1,2,1,1,25000,22000,60000,18000,15000,71500,58500,45.0
17-09-2026,5,102000,1,1,1,1,1,25000,22000,30000,18000,15000,56100,45900,45.0
18-09-2026,6,137000,2,1,1,1,1,50000,22000,30000,18000,15000,75350,61650,45.0
19-09-2026,5,105000,1,2,1,0,1,25000,44000,30000,0,15000,57750,47250,45.0
20-09-2026,7,155000,2,1,1,1,2,50000,22000,30000,18000,30000,85250,69750,45.0
21-09-2026,6,125000,1,2,1,1,1,25000,44000,30000,18000,15000,68750,56250,45.0
22-09-2026,5,110000,2,1,1,1,0,50000,22000,30000,18000,0,60500,49500,45.0
23-09-2026,7,157000,2,1,2,1,1,50000,22000,60000,18000,15000,86350,70650,45.0
24-09-2026,5,105000,1,1,1,1,1,25000,22000,30000,18000,15000,57750,47250,45.0
25-09-2026,6,132000,2,1,1,1,1,50000,22000,30000,18000,15000,72600,59400,45.0
26-09-2026,4,80000,1,1,1,1,0,25000,22000,30000,18000,0,44000,36000,45.0
27-09-2026,7,152000,2,1,1,1,2,50000,22000,30000,18000,30000,83600,68400,45.0
28-09-2026,6,137000,1,2,1,1,1,25000,44000,30000,18000,15000,75350,61650,45.0
29-09-2026,5,110000,1,1,1,1,1,25000,22000,30000,18000,15000,60500,49500,45.0
